conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1916704138756604210,Mon Apr 28 04:00:51 +0000 2025,0,Tbh gue lebih choose childfree tapi gue jg gak menolak kalau adopsi anak juga sih ,1916704138756604210,,,in,🏳️‍🌈 | She/Her | 大阪,0,1,0,https://x.com/kiraklraito/status/1916704138756604210,1892746228259311618,kiraklraito
1916452329441702332,Mon Apr 28 03:50:05 +0000 2025,0,@polliwwints @tanyarlfes Ok I know your concern tapi biarkanlah orang-orang yang mau nikah kek mau gak nikah kek mau childfree kek mau beranak sampe 10 kek. Komenan begini di menfess orang yang mau lamaran kesannya gak tau tempat banget dan menyebalkan. Cukup lah ngurusin urusan orang lain nya..,1916701428388880622,,polliwwints,in,,0,0,0,https://x.com/roses_are_risa/status/1916701428388880622,2281767199,roses_are_risa
1916697810084483339,Mon Apr 28 03:35:43 +0000 2025,0,gue mau childfree tapi pengen coba IVF juga with my future wife,1916697810084483339,,,in,she — her | femininomenon,0,0,0,https://x.com/universsapik/status/1916697810084483339,1832247187767750656,universsapik
1916410702912254453,Mon Apr 28 02:22:35 +0000 2025,0,@kedaiboekoe Bukunya kak Victoria Tunggono yang Childfree buku tersebut memberikan alasan mengapa banyak orang menjadi childfree. Film yg bagus dan seru ada May 18 film Korea tentang sejarah dan politik Domisili: Medan ,1916679406673711208,,kedaiboekoe,in,"Kota Medan, Sumatera Utara",0,0,0,https://x.com/Rostuariatursi2/status/1916679406673711208,1113058806357876743,Rostuariatursi2
1916478972755431854,Mon Apr 28 02:07:04 +0000 2025,40,@lightyearbzz @tanyarlfes Punya anak in this Economy!? Bkoookk!!! - ayam childfree,1916675503475573142,,lightyearbzz,in,"Earth, Sol System, Milky Way. ",0,0,3,https://x.com/syaondri14/status/1916675503475573142,1641865921,syaondri14
1916670609091657764,Mon Apr 28 01:47:37 +0000 2025,0,udah kebanyakan manusia. jadi kalo ada yg childfree biarin aja plis. jangan dinyinyirin!!! masih banyak org di usia produktif. tapi lokernya gak ngotak. CAVEEEKKK,1916670609091657764,,,in,"Tokyo-to, Japan",0,0,0,https://x.com/fangirlunyu/status/1916670609091657764,920873826522558464,fangirlunyu
1916493300158415072,Mon Apr 28 01:45:43 +0000 2025,1,@kegblgnunfaedh Mungkin netizen ini maunya semua orang harus kerja sampai mampus nikah harus banget tua abis itu childfree.,1916670131196903521,,kegblgnunfaedh,in,,0,0,0,https://x.com/cheonsa_aphra/status/1916670131196903521,1396811722598481921,cheonsa_aphra
1916661495733395932,Mon Apr 28 01:11:25 +0000 2025,0,yah yg childfree ga dapet kah :( https://t.co/lXEfWx49RA,1916661495733395932,https://pbs.twimg.com/media/GplZeDIbEAAMmfz.png,,in,,0,1,0,https://x.com/eatthemun/status/1916661495733395932,978369204897263616,eatthemun
1916659863209591135,Mon Apr 28 01:04:55 +0000 2025,0,kata gua mending lu semua pada childfree dah,1916659863209591135,,,in,,0,1,0,https://x.com/slicecheez_/status/1916659863209591135,1206410263202631681,slicecheez_
1916659427362382213,Mon Apr 28 01:03:11 +0000 2025,0,Kek gini ini yg bikin orang2 banyak yg pengen childfree :/,1916659427362382213,,,in,+62,0,0,0,https://x.com/tsubakiee/status/1916659427362382213,1099475540157685760,tsubakiee
1916520455793770859,Sun Apr 27 15:50:58 +0000 2025,0,sia-sia kalo nggak dipamerin kecantikan anak ku yang satu ini. anak ku bersama kiro sama gavin nggak punya anak soalnya aku mo childfree. ini pun si meridian ada gegara kebobolan (halu tingkat dewa) https://t.co/G0Q2MikfsX,1916520455793770859,https://pbs.twimg.com/media/GpjZMkha8AA5IWJ.jpg,,in,in my phase,0,0,0,https://x.com/twenisix4one/status/1916520455793770859,1905294801349869568,twenisix4one
1916508283218825355,Sun Apr 27 15:07:14 +0000 2025,0,@0URGASM mau childfree trs pelihara cupang,1916509450376036825,,0URGASM,in,,0,0,0,https://x.com/childoet/status/1916509450376036825,1270622638038106112,childoet
1916471438338334937,Sun Apr 27 12:36:11 +0000 2025,0,Plis gaada cowo kaya yg mau ngadopsi aku trus bayarin buat kehidupanku kah? Aku jadi pembantu gpp itung² kerja. Bisa pura² nikah buat bikin mantanmu crmburu (ak childfree yh) #srs #need,1916471438338334937,,,in,,0,0,0,https://x.com/dailylifeof_scr/status/1916471438338334937,1883158040142389248,dailylifeof_scr
1916468183336472679,Sun Apr 27 12:31:10 +0000 2025,5,@dawiguna @debbieflavi @agama_nusantara @bnsphrxyzzz @sakkusaitna @tepig_pignite @Valhallaah @mistroad_1 @Matahari_tmr @Kappa_2023 @PaijoKhentirrr @HBRPsweet @maukarjl @GlennHarold1 @porkandlar26037 @endoe21 @FaktaBerita89 Lebih enaknya lagi jangan menikah kalau duit pas-pasan mendingan childfree.,1916470173353251082,,dawiguna,in,,0,2,1,https://x.com/LeotardosMy/status/1916470173353251082,1614230024638599173,LeotardosMy
1914877254917840954,Sun Apr 27 12:28:17 +0000 2025,0,@belontidur @nickyrp__ @kejubrea @Roselly28 @gaiamamoru @tubbirfess dan tenang aja ga semua perempuan memilih ngga nikah/childfree masih banyak perempuan yg punya harapan jadi ibu. tapi untuk langkah buat jadi ibu pasti mereka akan mikir mikir lagi kembali ke kalimat awal pria jaman sekarang kebanyakan ga punya sense of responsibility wkwk.,1916469450536112417,,cloudyybluw,in,,0,1,0,https://x.com/cloudyybluw/status/1916469450536112417,1473670395509149704,cloudyybluw
1914877254917840954,Sun Apr 27 12:26:08 +0000 2025,0,@belontidur @nickyrp__ @kejubrea @Roselly28 @gaiamamoru @tubbirfess (((pria jaman sekarang kebanyakan ga punya sense of responsibility))) ini yg bikin perempuan mikir untuk ngga menikah/childfree. ketika mereka memilih jalan itu bukan berarti mereka akan rugi/ga da value sebagai perempuan justru mereka aware atas dirinya dan keturunannya,1916468906056655177,,belontidur,in,,0,2,0,https://x.com/cloudyybluw/status/1916468906056655177,1473670395509149704,cloudyybluw
1916410042213142835,Sun Apr 27 12:05:39 +0000 2025,0,@goraici uda bener jepang dan korsel pada pilih childfree sih. perkerjaan sudah banyak yg digantikan robot. yg butuh pekerjaan tenaga manusia outsource ke negara yg lebih miskin,1916463753274774003,,goraici,in,Indonesia,0,0,0,https://x.com/textdarimatcha/status/1916463753274774003,33862321,textdarimatcha
1916462170927411651,Sun Apr 27 11:59:22 +0000 2025,0,1. Donor sperma 2. Childfree Mungkin mereka menikah karena saling mencintai aja bukan semata-mata demi punya anak sperti warga konoha. Tetap aku tidak mendukung pernikahan sesama jenis.,1916462170927411651,,,in,,0,0,0,https://x.com/spadameow/status/1916462170927411651,1683503570195451904,spadameow
1916449184271732889,Sun Apr 27 11:09:09 +0000 2025,1,Beruntung skrg gw nemu org yg sefrekuensi soal ini sama-sama ga suka anak kecil dan mau childfree. Gamau diubah dan ngubah orang soalnya,1916449536077365582,,keningberseri,in,,0,0,0,https://x.com/keningberseri/status/1916449536077365582,1901579667892834304,keningberseri
1916449184271732889,Sun Apr 27 11:07:46 +0000 2025,1,Tiap ditanya mau punya anak berapa kalau nanti nikah? Selalu jawab 1-2 aja kayaknya. Pdhl hati ini sudah mantap untuk childfree. Malas diajak diskusi dan dinasehatin soal anak. ,1916449184271732889,,,in,,0,1,0,https://x.com/keningberseri/status/1916449184271732889,1901579667892834304,keningberseri
1916062152248725950,Sun Apr 27 10:55:29 +0000 2025,0,@taqibalqibul inilah realitanya... negara kita DIDESAIN dengan sengaja agar rakyatnya menganut CHILDFREE BODOH STRESS jadi GENERASI SANDWICH tidak bisa ibadah haji selalu miskin dan harus kerja hingga akhir hayatnya PEMISKINAN STRUKTURAL.. miris banget kan https://t.co/NoBmspmo1l,1916446093862383689,,taqibalqibul,in,Tanah air Indonesia yang luhur,0,0,1,https://x.com/majikanpenjabat/status/1916446093862383689,1828319359691038721,majikanpenjabat
1916261524840321158,Sun Apr 27 10:22:41 +0000 2025,0,@kucingberkuasa Surah al An'am ayat 151 ayat ni termasuklah juga perbuatan merancang keluarga kerana takut miskin. Childfree by will ni memang taknak anak sebab takut miskin. So i know what childfree means.,1916437839761539360,,kucingberkuasa,in,,0,2,0,https://x.com/sanglirsarii/status/1916437839761539360,1552980836701831169,sanglirsarii
1916436082222080264,Sun Apr 27 10:15:42 +0000 2025,6,Tuduh orang yang childfree by will bunuh anak sebab takut rezeki habis juga ialah satu dosa yang besar.,1916436082222080264,,,in,"Subang Jaya, Malaysia",0,0,0,https://x.com/TehlohSuwi/status/1916436082222080264,816883351046848512,TehlohSuwi
1916261524840321158,Sun Apr 27 10:04:05 +0000 2025,6,@sanglirsarii @CARI_Kdrama jadi childfree sepanjang perkahwinan TAK SAMA dengan bunuh anak . jangan letak dalam kurungan macam tu. boleh timbulkan salah faham. by the way hukum tak berusaha nak dapatkan anak TIDAK BERDOSA. mufti sendiri cakap: https://t.co/cApniI0rRA https://t.co/I6J6SxeuF0,1916433158935044386,https://pbs.twimg.com/media/GpiJzGZbUAAns9J.jpg,sanglirsarii,in,,1,0,3,https://x.com/cendolaksa/status/1916433158935044386,1720442687726510080,cendolaksa
1916432085218365888,Sun Apr 27 09:59:49 +0000 2025,6,tak faham. childfree by will and bunuh anak are two different things right? childfree takde anak lagi. another one is dah anak pastu pergi bunuh sebab takut rezeki habis. mana satu yang dosa besar? don t twist words,1916432085218365888,,,in,,0,1,3,https://x.com/cendolaksa/status/1916432085218365888,1720442687726510080,cendolaksa
1916261524840321158,Sun Apr 27 09:45:05 +0000 2025,0,@CARI_Kdrama I tak kata orang buat family planning dosa besar.. I kata dibenarkan. Please reread my tweet. In conclusion fahamkan apa maksud childfree. Dah nama pun taknak anak sepanjang perkahwinan tang mana nya ada tempoh? Ok semoga allah bukakan pintu kebaikan utk kita semua. Amin.,1916428379777097751,,CARI_Kdrama,in,,0,1,0,https://x.com/sanglirsarii/status/1916428379777097751,1552980836701831169,sanglirsarii
1916426817311047800,Sun Apr 27 09:38:53 +0000 2025,0,@KSubktn memoralisasi pilihan yg berbeda. Konteksnya adalah dia komentar soal pilihan childfree perempuan dgn narasi yg memvonis dan memojokkan keputusan tersebut. Saya laki-laki dan daya menolak praktik moralisasi pilihan childfree. Lihat juga responsnya! Sangat terampil haha https://t.co/mMs3h3VdUJ,1916426817311047800,https://pbs.twimg.com/media/GpiDqJ9a4AEvwAa.jpg,,in,,0,0,0,https://x.com/galihh_H/status/1916426817311047800,1102489369837891584,galihh_H
1916261524840321158,Sun Apr 27 09:36:46 +0000 2025,0,@CARI_Kdrama Childfree is not family planning. Childfree means taknak anak sepanjang perkahwinan atas sebab nafsu sendiri. Contoh: taknak anak sbb ekonomi tak berapa bagus. Bukan sebab masalah kesihatan Family planning pulak ada tempoh tertentu. Precaution tu bukan selamanya. Dibenarkan.,1916426286270234844,,CARI_Kdrama,in,,0,3,0,https://x.com/sanglirsarii/status/1916426286270234844,1552980836701831169,sanglirsarii
1915960604021690654,Sun Apr 27 09:28:06 +0000 2025,0,@KSubktkn Isu struktural dianggep cuma masalah subjektif. Berbeda pilihan malah dimoralisasi (baca: divonis durhaka). Luar biasa wkwk. Childfree mestinya ditempatkan dalam kondisi sosial-ekonomi yg lebih luas bkn malah ngevonis orang lain durhaka.,1916424105655746958,,KSubktkn,in,,1,0,0,https://x.com/galihh_H/status/1916424105655746958,1102489369837891584,galihh_H
1916423081893249161,Sun Apr 27 09:24:02 +0000 2025,0,Childfree dosa besar???? Dehek,1916423081893249161,,,in,,0,0,0,https://x.com/AmirDanish_99/status/1916423081893249161,964583322,AmirDanish_99
1916410833724227860,Sun Apr 27 08:35:22 +0000 2025,2,junhao auranya kaya pasusu yang baru menikah terus mau childfree ,1916410833724227860,,,in,TheWonforGyu land,0,0,1,https://x.com/xeeashee/status/1916410833724227860,1783282122318569472,xeeashee
1916393886999843017,Sun Apr 27 07:44:04 +0000 2025,0,@zhaoroosy @WeHarringtons Gamau childfree mbak tapi kalo gaeul mau childfree aku nurut aja ,1916397921341186256,,zhaoroosy,in, La Revista Neolimit Throneos,0,1,0,https://x.com/jaemain/status/1916397921341186256,1043492677088501761,jaemain
1916395654345339223,Sun Apr 27 07:40:10 +0000 2025,1,@pzayne papa muda yg mau childfree tp kebobolan,1916396941522371013,,pzayne,in,,0,0,0,https://x.com/karinaforu/status/1916396941522371013,1489440398338846721,karinaforu
1916393311927209991,Sun Apr 27 07:25:45 +0000 2025,1,dan akan saya genjot terus setiap tahun agar menghasilkan 10 anak apa itu childfree? 1 tahun 1 anak lah,1916393311927209991,,,in,minors dni,0,0,0,https://x.com/25300501s/status/1916393311927209991,1796842705257185280,25300501s
1916109003299688598,Sun Apr 27 06:24:35 +0000 2025,1,@ngambekann @convomf Bangga. Ya soalny gw jg childfree. Outputnya pun bagus childfree kan jg salah satu bentuk protes ke pemerintah terbaik mudah dan paling efektif,1916377918605038032,,ngambekann,in,,0,0,0,https://x.com/Incelesque/status/1916377918605038032,2220998708,Incelesque
1916136241156002052,Sun Apr 27 06:23:58 +0000 2025,0,@xquitavee Gini amat orang tua punya anak kira-kira menyesal tidak melahirkan anak kaya lu? Klo dulu ada trend Childfree pasti sudah dilakukan daripada melahirkan dan membesarkan anak kaya lu goblok njir.. ,1916377766951256336,,xquitavee,in,"Bekasi, Indonesia",0,0,0,https://x.com/Zeent29/status/1916377766951256336,1227083919025221632,Zeent29
1916095632252772771,Sun Apr 27 04:59:47 +0000 2025,1,@bungaaah_ @assyfaslsa Beneran. Gw klo jd bapaknya bkal nyesel anjir lahirin k dunia. Mnding childfree dokus karir aj hidupnya. Pnya anak bukannya bawa ketenangan malah ketegangan. Tolol2 emang anak pjabat spek mario dandy tuh.,1916356578405716383,,bungaaah_,in,,0,0,0,https://x.com/spilldspell/status/1916356578405716383,1760202199291031552,spilldspell
1916353236237254800,Sun Apr 27 04:46:30 +0000 2025,0,Padahal kalo kakaknya main ke panti jompo yah.... Rata rata nenek nenek yg di masukin kesana itu bukan perempuan childfree,1916353236237254800,,,in,,0,0,0,https://x.com/fated0613/status/1916353236237254800,1074918905833897984,fated0613
1916105648632434925,Sun Apr 27 04:39:35 +0000 2025,0,@kegblgnunfaedh Terbukti manusia Indonesia ga bakal punah walau udah ada yg childfree,1916351497639760260,,kegblgnunfaedh,in,Jakarta,0,0,0,https://x.com/wawan2f/status/1916351497639760260,995187660460191744,wawan2f
1916341631504318651,Sun Apr 27 04:00:23 +0000 2025,2,perempuan: karena satu dan lain hal saya pilih childfree laki-laki: nggak boleh childfree kodrat perempuan harus melahirkan dan punya anak nanti kalau semua perempuan childfree manusia bisa punah SIANJING TIBA-TIBA PEDULI DENGAN KEPUNAHAN BANGET NGGAK TUH,1916341631504318651,,,in,Indonesia,0,1,0,https://x.com/woopal_na/status/1916341631504318651,861819503138582528,woopal_na
1916330687545901374,Sun Apr 27 03:16:54 +0000 2025,242,kluennuea yang udah 5 tahun childfree tiba-tiba nemu bayi di depan pintu rumah mereka bersama secarik kertas menempel pada kardus. tolong dia kalian lah satu-satunya harapan dia. #StarInMyMindEP1 #จุงดัง #JoongDunk https://t.co/84E2zAZRnz,1916330687545901374,https://pbs.twimg.com/media/GpgsmhVasAAFqaP.jpg,,in,,2,6,43,https://x.com/adieumeteur/status/1916330687545901374,1746141170974265344,adieumeteur
1915981301787881870,Sat Apr 26 15:42:06 +0000 2025,25,@tang__kira Kepikiran ga: Ai 'membunuh' manusia perlahan². Bbrp pekerjaan sdh bs d handle Ai atau robot/mesin. Lalu anak² yg baru bekerja dgn gaji minim akan berpikir ulang utk menikah dan punya anak. Krn bertahan hidup utk diri sndiri aja sdh stgh mati. Akhirnya byk yg childfree. --,1916155836491014615,,tang__kira,in,,0,1,0,https://x.com/Art_Up_Zaid/status/1916155836491014615,1782085101503078400,Art_Up_Zaid
1915338986790523029,Sat Apr 26 15:29:39 +0000 2025,0,@belontidur @floatinbloom Yang bikin ngenes atau engga dari percakapan kita itu duit. Bukan childfree nya wkwk.,1916152704101192024,,westeugenee,in,"None, Piemonte",0,0,0,https://x.com/westeugenee/status/1916152704101192024,1736619927552090112,westeugenee
1915338986790523029,Sat Apr 26 15:28:41 +0000 2025,0,@belontidur @floatinbloom Like I said single childfree is mostly forced childfree sih. Nah balik lagi. Masalahnya bukan childfree atau engga nya. Lo punya anak tapi anaklo buang lo ke panti ya ngenes Lo punya anak tapi miskin ya ngenes Sebenernya kalo ngenes mah ga ada hubungannya childfree atau engga,1916152459980145123,,belontidur,in,"None, Piemonte",0,1,0,https://x.com/westeugenee/status/1916152459980145123,1736619927552090112,westeugenee
1916141577141129488,Sat Apr 26 14:45:26 +0000 2025,4,Orang yang maksain pendapatnya ke orang lain itu ada masalah hidup apa sih? Orang yang childfree dia yang susah. Orang yang naik ojol dia yang rempong. Padahal kan kalau gak setuju bisa woles aja.,1916141577141129488,,,in,,0,2,0,https://x.com/Fairylixeu1/status/1916141577141129488,1270358130807803904,Fairylixeu1
1916131379668308006,Sat Apr 26 14:16:31 +0000 2025,0,@jagoanuma yhh yg beranak lu aja kita ber3 childfree,1916134300669604284,,jagoanuma,in,warteysource ,0,1,0,https://x.com/cwegill/status/1916134300669604284,1651999973922476034,cwegill
1916131590406869416,Sat Apr 26 14:05:45 +0000 2025,0,Nakut-nakutin gimana sih. Justru twit gue menginspirasi mereka dan makin semangat buat childfree and single for the rest of her life https://t.co/Ynubzu5kAa,1916131590406869416,https://pbs.twimg.com/media/Gpd3hfIbEAYyLOt.jpg,,in,,0,0,0,https://x.com/belontidur/status/1916131590406869416,77655483,belontidur
1916114315964518451,Sat Apr 26 13:34:46 +0000 2025,0,@fpoemsh Kamu childfree apa tidak?,1916123793065709599,,fpoemsh,in,"Bali, Indonesia",0,1,0,https://x.com/arunikasania/status/1916123793065709599,1775100704304300032,arunikasania
1916109003299688598,Sat Apr 26 13:01:58 +0000 2025,0,@ngambekann @convomf Terserah mereka mau bagaimana. Toh itu tubuh mereka. Tapi kalau untuk istriku besok aku pasti nyarinya yg g punya pikiran childfree.,1916115535940751804,,ngambekann,in,Mars,0,0,0,https://x.com/siapasayahayooo/status/1916115535940751804,1186644405161267200,siapasayahayooo
1901286533614936074,Sat Apr 26 12:34:58 +0000 2025,0,@AlanN35104 @textusreseptus @catzenada @Marrkus12_29 @__anomali__ @SifatAlami @Apokrifa23 @aesculapiusw @_majusi_ @ajeg234 @imamDouma @kookminrm @Kakak211 @JLion555 @grace_sihab21 @uniqueestarrs @Doremi1821839 @roculpakulus @Kappa_2023 @Seraphim345 @Gendis_Wari @mohMadSaw @georgetodzira_ @soetansjahrir45 @victoragiular @sorionis_ @ForeMatchaCold @bangjabat10 @DIM445_P @bryan_chung09 @KatzeNada @PaganiniP1564 @wibuGL @elscelestine @kuduseweyesus @AlgenoaXaveriuz @jesusabeggar @DwiSuniti78498 @AnusEmperor @paulusanus @alannairnu @Dim4s_p @ArwahMiliter @saaltysodaa @burungkudus @DonKintil @StefanjingYin Loh kafirun pada kmn emg?? Pada childfree kah?,1916108742564974932,,AlanN35104,in,,0,0,0,https://x.com/FruitLover2345/status/1916108742564974932,1600085839970992129,FruitLover2345
1916106149197472028,Sat Apr 26 12:24:40 +0000 2025,2,Mendingan gua single forever + childfree dicap maho daripada mengikuti tren cari cewe duit pas-pasan ngontrok punya anak ehhh anaknya dititip ke adik dititip ke pesantren anaknya jadi dendam ke ortunya ribut lagi kaya gitu aja terus sampe lebaran kuda.,1916106149197472028,,,in,,0,0,0,https://x.com/LeotardosMy/status/1916106149197472028,1614230024638599173,LeotardosMy
1915338986790523029,Sat Apr 26 12:22:54 +0000 2025,0,@westeugenee @floatinbloom Well lo butuh ratusan ribu USD buat retire di cruise ship &amp; gue sangat yakin yang bisa mencapai itu cuma di bwh 2% lansia childfree. Single childfree yg gabisa ngumpulin duit sebanyak itu ya ngenes. Both option endingnya sama sama2 being forgotten. Enjoy nabung dari sekarang ,1916105707348168874,,westeugenee,in,,0,1,0,https://x.com/belontidur/status/1916105707348168874,77655483,belontidur
1915407855110545867,Sat Apr 26 12:20:52 +0000 2025,0,@roadtedberrye @drearystar_ kami siapa si tot? gua suka banget ngeliat keluarga harmonis dan itupun karena keluarga yg harmonis tu LANGKA. nah sekarang nih kalau ada yg mau milih ga nikah/childfree yaudah? selagi bahagia sama pilihannya kenapa engga?,1916105194011824579,,roadtedberrye,in,,0,0,0,https://x.com/dunnowho125/status/1916105194011824579,1252616079261577217,dunnowho125
1916018010860536075,Sat Apr 26 06:34:26 +0000 2025,1,Mana nih yang bilang kaum childfree akan terlantar di masa tua? Lha bapak ini punya anak cucu lho. Andai dia childfree mungkin bisa tinggal di panti jompo mevvah,1916018010860536075,,,in,,0,0,0,https://x.com/MerrMagda/status/1916018010860536075,849329765790224384,MerrMagda
1915338986790523029,Sat Apr 26 06:09:59 +0000 2025,0,@floatinbloom ini menurutku. tapi menurutku yaaa masa tuamah tidak terjamin dari kamu menikah atau punya anak. itu tergantung juga anak dan pasangan kita kek apa. tapi kalo ga nikah dan childfree udh pasti masa mudanya lebih bebas dan ga sempit ruang geraknya.,1916011860018794838,,floatinbloom,in,"Kota Bandung, Jawa Barat",0,0,0,https://x.com/hello_anz/status/1916011860018794838,1467188539020361737,hello_anz
1915407855110545867,Sat Apr 26 06:07:18 +0000 2025,0,@drearystar_ pemerintah jepang korsel udh bingung duluan nder.. klo gw sih bodo amat cewe indo mau childfree.. soalnya lagi nabung buat nyari yg spek rusia.. doain ya nder semoga bisa segera kekumpul.. biar klo mudik bukan antar kota lg tapi udh antar negara,1916011184844902455,,drearystar_,in,,0,0,0,https://x.com/Initialkud/status/1916011184844902455,1507065901874823169,Initialkud
1916008343753396706,Sat Apr 26 05:56:01 +0000 2025,3,kalau childfree: pokoknya yg pnting ada kegiatan di luar rumah. entah kerja (fulltime/part time/freelance) / ikut komunitas / ikut volunteer kalau punya anak: freelance/part time biar bs nemenin anak dan adventure nyoba hal baru bareng mereka ,1916008343753396706,,,in,Indonesia,0,1,0,https://x.com/vallzard/status/1916008343753396706,973828821483950085,vallzard
1914597564348801069,Sat Apr 26 05:54:58 +0000 2025,0,@ptrbrmnty mendingan lu begini dengan prinsip childfree dari pada jadi baby blues,1916008080237859242,,ptrbrmnty,in,,0,0,0,https://x.com/EmbunFajar90/status/1916008080237859242,1610896846863601664,EmbunFajar90
1915407855110545867,Sat Apr 26 05:52:02 +0000 2025,0,@drearystar_ Tau ya berasa klo kita childfree tuh utang negara nambah gitu,1916007340891116026,,drearystar_,in,Mentari Pelita Bumi,0,0,0,https://x.com/dii_md/status/1916007340891116026,267744167,dii_md
1915338986790523029,Sat Apr 26 05:06:28 +0000 2025,0,@floatinbloom Childfree terserah sih mau di lakukan atau tidak yg penting jangan maksa orng buat childfree atau ga childfree balik lagi orng yg seneng berkeluarga &amp; kehadiran anak ada juga tanpa kehadiran anak juga gpp pemaksaan itu yg bikin konflik masayarakat jadi nerdebat terus,1915995874146091061,,floatinbloom,in,bogor,0,0,0,https://x.com/purnomo_ariel/status/1915995874146091061,194060426,purnomo_ariel
1915338986790523029,Sat Apr 26 04:38:51 +0000 2025,0,@floatinbloom Ya ibarat childfree 90% ke panti klo punya anak 50% ya semua balik lagi ke orangnya klo emang kaya dan punya dana pensiun mau punya anak atau tidak ttp bisa hidup senang bisa sewa perawat,1915988923219591460,,floatinbloom,in,,0,0,0,https://x.com/dumbwaytohell/status/1915988923219591460,1498956893829890050,dumbwaytohell
1915986291700994492,Sat Apr 26 04:28:23 +0000 2025,0,Setuju bgt! Bru aja kmrin ke panti sosial dan betul rata lansia bkn sengaja dibuang/ditelantarkan ke panti. Bbrpa lansia ada yg tdk menikah childfree bhkan udh jdi pilihan sendiri utk tinggal di panti dgn alasan tdk mau merepotkan anak/sodara mereka.,1915986291700994492,,,in,,0,1,0,https://x.com/chikoriittta/status/1915986291700994492,930047316404215808,chikoriittta
